attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical			NA	value is missing
Site	"Sampling site within each reservoir; 50=Deep hole or site nearest to dam in each reservoir, 45=Transect 45 in Falling Creek Reservoir, 30=Transect 30 in Falling Creek Reservoir, 20=Transect 20 in Falling Creek Reservoir, 10=Transect 10 in Falling Creek Reservoir. On transects 45, 30, 20, and 10 in Falling Creek Resevoir, the FluoroProbe profile was collected at the deepest site of the reservoir. For a map of the transects in Falling Creek Reservoir, see Chen et al. 2017"	numeric	dimensionless		NA	value is missing
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Depth_m	Water depth where the sample was collected or sensor reading was measured	numeric	meter		NA	value is missing
GreenAlgae_ugL	Green algae concentration	numeric	microgramsPerLiter		NA	value is missing
Bluegreens_ugL	Bluegreen algae (cyanobacteria) concentration	numeric	microgramsPerLiter		NA	value is missing
BrownAlgae_ugL	Brown algae concentration	numeric	microgramsPerLiter		NA	value is missing
MixedAlgae_ugL	Mixed algae (sometimes referred to as cryptophytes) concentration	numeric	microgramsPerLiter		NA	value is missing
YellowSubstances_ugL	Yellow substances (an offset meant to correct for humic compounds) concentration	numeric	microgramsPerLiter		NA	value is missing
TotalConc_ugL	Total phytoplankton concentration	numeric	microgramsPerLiter		NA	value is missing
Transmission	Percent transmission of the water at 700 nm; 100% is pure water and 0% is "black water"	numeric	dimensionless		NA	value is missing
Temp_degC	Water temperature in Celsius	numeric	celsius		NA	value is missing
RFU_525nm	Relative fluorescence units of excitation in response to light wavelength of 525 nm	numeric	relativeFluorescenceUnits		NA	value is missing
RFU_570nm	Relative fluorescence units of excitation in response to light wavelength of 570 nm	numeric	relativeFluorescenceUnits		NA	value is missing
RFU_610nm	Relative fluorescence units of excitation in response to light wavelength of 610 nm	numeric	relativeFluorescenceUnits		NA	value is missing
RFU_370nm	Relative fluorescence units of excitation in response to light wavelength of 370 nm	numeric	relativeFluorescenceUnits		NA	value is missing
RFU_590nm	Relative fluorescence units of excitation in response to light wavelength of 590 nm	numeric	relativeFluorescenceUnits		NA	value is missing
RFU_470nm	Relative fluorescence units of excitation in response to light wavelength of 470 nm	numeric	relativeFluorescenceUnits		NA	value is missing
Flag_GreenAlgae	Data flag for green algae	numeric	dimensionless		NA	value is missing
Flag_BluegreenAlgae	Data flag for bluegreen algae	numeric	dimensionless		NA	value is missing
Flag_BrownAlgae	Data flag for brown algae	numeric	dimensionless		NA	value is missing
Flag_MixedAlgae	Data flag for mixed algae	numeric	dimensionless		NA	value is missing
Flag_TotalConc	Data flag for total phytoplankton	numeric	dimensionless		NA	value is missing
Flag_Temp	Data flag for water temperature	numeric	dimensionless		NA	value is missing
Flag_Transmission	Data flag for transmission	numeric	dimensionless		NA	value is missing
Flag_525nm	Data flag for fluorescence at 525 nm	numeric	dimensionless		NA	value is missing
Flag_570nm	Data flag for fluorescence at 570 nm	numeric	dimensionless		NA	value is missing
Flag_610nm	Data flag for fluorescence at 610 nm	numeric	dimensionless		NA	value is missing
Flag_370nm	Data flag for fluorescence at 370 nm	numeric	dimensionless		NA	value is missing
Flag_590nm	Data flag for fluorescence at 590 nm	numeric	dimensionless		NA	value is missing
Flag_470nm	Data flag for fluorescence at 370 nm	numeric	dimensionless		NA	value is missing
